,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W2
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 12:49:21
,     Stop Time: ~10/24/2017 13:49:21


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri7_H, Ri7_S, Ri8_H, Ri8_S, Vi7_H, Vi7_S, Vi8_H, Vi8_S, Di5_H, Di5_S, Di6_H, Di6_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,205.00,1878.00,447.00,2551.00,117.00,1310.00,160.00,1109.00,57.00,2771.00,3867.00,1221.00,

 13:13:52
Interval Count,1.00,24.00,0.00,98.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,95.00,
Total Counts,206.00,1902.00,447.00,2649.00,117.00,1310.00,160.00,1109.00,57.00,2771.00,3867.00,1316.00,

 13:14:22
Interval Count,0.00,59.00,0.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,206.00,1961.00,447.00,2664.00,117.00,1310.00,160.00,1109.00,57.00,2771.00,3867.00,1316.00,

 13:14:52
Interval Count,0.00,47.00,0.00,35.00,0.00,177.00,0.00,0.00,0.00,82.00,0.00,11.00,
Total Counts,206.00,2008.00,447.00,2699.00,117.00,1487.00,160.00,1109.00,57.00,2853.00,3867.00,1327.00,

 13:15:22
Interval Count,0.00,43.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,19.00,0.00,38.00,
Total Counts,206.00,2051.00,447.00,2699.00,117.00,1532.00,160.00,1109.00,57.00,2872.00,3867.00,1365.00,

 13:15:52
Interval Count,0.00,18.00,0.00,14.00,0.00,1.00,0.00,0.00,0.00,45.00,0.00,0.00,
Total Counts,206.00,2069.00,447.00,2713.00,117.00,1533.00,160.00,1109.00,57.00,2917.00,3867.00,1365.00,

 13:16:22
Interval Count,0.00,13.00,0.00,75.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,67.00,
Total Counts,206.00,2082.00,447.00,2788.00,117.00,1538.00,160.00,1109.00,57.00,2917.00,3867.00,1432.00,

 13:16:53
Interval Count,0.00,43.00,2.00,88.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,13.00,
Total Counts,206.00,2125.00,449.00,2876.00,117.00,1538.00,160.00,1109.00,57.00,2917.00,3868.00,1445.00,

 13:17:23
Interval Count,0.00,14.00,0.00,0.00,29.00,0.00,2.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,206.00,2139.00,449.00,2876.00,146.00,1538.00,162.00,1109.00,60.00,2917.00,3868.00,1445.00,

 13:17:52
Interval Count,0.00,9.00,0.00,0.00,10.00,0.00,64.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,206.00,2148.00,449.00,2876.00,156.00,1538.00,226.00,1109.00,60.00,2917.00,3868.00,1445.00,

 13:18:22
Interval Count,0.00,19.00,0.00,0.00,5.00,17.00,0.00,0.00,0.00,36.00,0.00,0.00,
Total Counts,206.00,2167.00,449.00,2876.00,161.00,1555.00,226.00,1109.00,60.00,2953.00,3868.00,1445.00,

 13:18:53
Interval Count,0.00,40.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,206.00,2207.00,449.00,2876.00,162.00,1555.00,226.00,1109.00,60.00,2953.00,3868.00,1445.00,

 13:19:23
Interval Count,2.00,28.00,0.00,54.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,208.00,2235.00,449.00,2930.00,162.00,1555.00,226.00,1109.00,61.00,2953.00,3868.00,1445.00,

 13:19:53
Interval Count,0.00,23.00,0.00,62.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2258.00,449.00,2992.00,162.00,1555.00,226.00,1109.00,61.00,2953.00,3868.00,1445.00,

 13:20:22
Interval Count,0.00,28.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,0.00,
Total Counts,208.00,2286.00,449.00,2992.00,162.00,1555.00,226.00,1109.00,64.00,2953.00,3868.00,1445.00,

 13:20:53
Interval Count,0.00,4.00,0.00,48.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,208.00,2290.00,449.00,3040.00,162.00,1556.00,226.00,1109.00,64.00,2953.00,3868.00,1445.00,

 13:21:23
Interval Count,0.00,8.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,150.00,
Total Counts,208.00,2298.00,449.00,3045.00,162.00,1556.00,226.00,1109.00,64.00,2953.00,3868.00,1595.00,

 13:21:53
Interval Count,0.00,0.00,0.00,138.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,11.00,
Total Counts,208.00,2298.00,449.00,3183.00,162.00,1556.00,226.00,1109.00,64.00,2958.00,3868.00,1606.00,

 13:22:23
Interval Count,0.00,0.00,1.00,16.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,
