,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/3/2018 13:42:44
,     Stop Time: ~1/3/2018 14:42:44


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di15_S, Di15_H, Di16_S, Di16_H, Vi17_S, Vi17_H, Vi18_H, Vi18_S, Ri15_H, Ri15_S, Ri16_H, Ri16_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Total Counts,1860.00,19.00,2943.00,13.00,1191.00,78.00,146.00,477.00,89.00,1011.00,92.00,1050.00,

 14:12:15
Interval Count,0.00,0.00,29.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,19.00,2972.00,14.00,1191.00,78.00,146.00,477.00,89.00,1011.00,92.00,1050.00,

 14:12:45
Interval Count,0.00,0.00,195.00,0.00,8.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,19.00,3167.00,14.00,1199.00,78.00,146.00,502.00,89.00,1011.00,92.00,1050.00,

 14:13:15
Interval Count,0.00,0.00,57.00,0.00,89.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,19.00,3224.00,14.00,1288.00,78.00,146.00,502.00,89.00,1011.00,92.00,1050.00,

 14:13:45
Interval Count,0.00,0.00,124.00,0.00,36.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1860.00,19.00,3348.00,14.00,1324.00,78.00,147.00,502.00,89.00,1011.00,92.00,1050.00,

 14:14:15
Interval Count,68.00,1.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1928.00,20.00,3407.00,14.00,1324.00,78.00,147.00,502.00,89.00,1011.00,92.00,1050.00,

 14:14:45
Interval Count,87.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3407.00,14.00,1324.00,78.00,147.00,502.00,89.00,1011.00,92.00,1050.00,

 14:15:15
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3408.00,14.00,1324.00,78.00,147.00,502.00,89.00,1011.00,92.00,1050.00,

 14:15:45
Interval Count,0.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3428.00,14.00,1324.00,78.00,147.00,502.00,89.00,1011.00,92.00,1050.00,

 14:16:15
Interval Count,0.00,0.00,98.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3526.00,14.00,1324.00,78.00,149.00,502.00,89.00,1011.00,92.00,1050.00,

 14:16:45
Interval Count,0.00,0.00,17.00,0.00,0.00,0.00,0.00,63.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3543.00,14.00,1324.00,78.00,149.00,565.00,89.00,1011.00,92.00,1050.00,

 14:17:15
Interval Count,0.00,0.00,198.00,0.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3741.00,14.00,1324.00,78.00,149.00,644.00,89.00,1011.00,92.00,1050.00,

 14:17:45
Interval Count,0.00,0.00,60.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3801.00,14.00,1324.00,78.00,149.00,644.00,89.00,1011.00,92.00,1050.00,

 14:18:15
Interval Count,0.00,0.00,127.00,0.00,0.00,0.00,0.00,98.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3928.00,14.00,1324.00,78.00,149.00,742.00,89.00,1011.00,92.00,1050.00,

 14:18:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3928.00,14.00,1324.00,78.00,149.00,742.00,89.00,1011.00,92.00,1050.00,

 14:19:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2015.00,20.00,3928.00,14.00,1324.00,78.00,150.00,742.00,89.00,1011.00,92.00,1050.00,

 14:19:45
Interval Count,1.00,0.00,38.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,3966.00,14.00,1334.00,78.00,150.00,742.00,89.00,1011.00,92.00,1050.00,

 14:20:15
Interval Count,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,14.00,1334.00,78.00,150.00,742.00,89.00,1011.00,92.00,1050.00,

 14:20:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,14.00,1334.00,78.00,150.00,742.00,97.00,1011.00,92.00,1050.00,

 14:21:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,14.00,1334.00,78.00,150.00,742.00,97.00,1011.00,92.00,1050.00,

 14:21:46
Interval Count,0.00,0.00,0.00,1.00,81.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,15.00,1415.00,78.00,151.00,742.00,97.00,1011.00,92.00,1050.00,

 14:22:15
Interval Count,0.00,0.00,0.00,0.00,4.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,15.00,1419.00,80.00,151.00,742.00,97.00,1011.00,92.00,1050.00,

 14:22:45
Interval Count,0.00,0.00,0.00,0.00,12.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,15.00,1431.00,80.00,151.00,749.00,97.00,1011.00,92.00,1050.00,

 14:23:16
Interval Count,0.00,0.00,0.00,0.00,49.00,0.00,5.00,52.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,15.00,1480.00,80.00,156.00,801.00,97.00,1011.00,92.00,1050.00,

 14:23:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,17.00,67.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4052.00,15.00,1480.00,80.00,173.00,868.00,97.00,1011.00,92.00,1050.00,

 14:24:16
Interval Count,0.00,0.00,74.00,1.00,0.00,0.00,0.00,26.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4126.00,16.00,1480.00,80.00,173.00,894.00,97.00,1011.00,92.00,1050.00,

 14:24:45
Interval Count,0.00,0.00,193.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4319.00,16.00,1480.00,80.00,177.00,894.00,97.00,1011.00,92.00,1050.00,

 14:25:16
Interval Count,0.00,0.00,97.00,0.00,0.00,0.00,0.00,78.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4416.00,16.00,1480.00,80.00,177.00,972.00,97.00,1011.00,92.00,1050.00,

 14:25:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4416.00,16.00,1480.00,80.00,177.00,972.00,97.00,1011.00,92.00,1050.00,

 14:26:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4416.00,16.00,1480.00,80.00,177.00,983.00,97.00,1011.00,92.00,1050.00,

 14:26:46
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4417.00,16.00,1480.00,80.00,177.00,983.00,97.00,1011.00,92.00,1050.00,

 14:27:16
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,50.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4417.00,16.00,1480.00,80.00,177.00,1033.00,97.00,1011.00,92.00,1050.00,

 14:27:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,4.00,7.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4417.00,16.00,1480.00,80.00,181.00,1040.00,97.00,1011.00,92.00,1050.00,

 14:28:16
Interval Count,0.00,0.00,0.00,0.00,4.00,0.00,0.00,42.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4417.00,16.00,1484.00,80.00,181.00,1082.00,97.00,1011.00,92.00,1050.00,

 14:28:46
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,2016.00,20.00,4417.00,16.00,1484.00,80.00,181.00,1082.00,97.00,1011.00,92.00,1050.00,

 14:29:16
