,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 11:17:13
,     Stop Time: ~10/30/2017 12:17:13


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri5_S, Ri5_H, Ri6_S, Ri6_H, Vi5_S, Vi5_H, Vi6_S, Vi6_H, Di3_S, Di3_H, Di4_S, Di4_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Total Counts,721.00,76.00,212.00,52.00,395.00,266.00,748.00,227.00,468.00,50.00,779.00,26.00,

 11:48:15
Interval Count,17.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,2.00,0.00,1.00,0.00,
Total Counts,738.00,76.00,212.00,52.00,395.00,268.00,748.00,227.00,470.00,50.00,780.00,26.00,

 11:48:45
Interval Count,17.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,755.00,76.00,212.00,52.00,395.00,268.00,748.00,227.00,470.00,50.00,780.00,26.00,

 11:49:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,755.00,76.00,212.00,52.00,395.00,268.00,748.00,227.00,470.00,50.00,780.00,26.00,

 11:49:45
Interval Count,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,762.00,76.00,212.00,52.00,395.00,268.00,748.00,227.00,470.00,50.00,780.00,26.00,

 11:50:15
Interval Count,19.00,0.00,59.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,781.00,76.00,271.00,52.00,395.00,268.00,748.00,227.00,470.00,51.00,780.00,26.00,

 11:50:45
Interval Count,0.00,0.00,45.00,0.00,20.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,781.00,76.00,316.00,52.00,415.00,268.00,748.00,227.00,470.00,51.00,780.00,26.00,

 11:51:15
Interval Count,14.00,22.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,795.00,98.00,316.00,52.00,415.00,268.00,748.00,227.00,470.00,51.00,781.00,26.00,

 11:51:45
Interval Count,16.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,
Total Counts,811.00,98.00,316.00,52.00,416.00,268.00,748.00,227.00,471.00,51.00,781.00,26.00,

 11:52:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,
Total Counts,811.00,98.00,316.00,52.00,416.00,268.00,748.00,227.00,471.00,51.00,782.00,26.00,

 11:52:45
Interval Count,11.00,0.00,80.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,822.00,98.00,396.00,52.00,416.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:53:15
Interval Count,0.00,0.00,0.00,0.00,13.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,822.00,98.00,396.00,52.00,429.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:53:45
Interval Count,9.00,0.00,0.00,7.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,396.00,59.00,429.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:54:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,396.00,59.00,429.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:54:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,396.00,59.00,429.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:55:15
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,396.00,59.00,429.00,268.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:55:45
Interval Count,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,396.00,59.00,429.00,276.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:56:15
Interval Count,0.00,0.00,4.00,0.00,0.00,11.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,831.00,98.00,400.00,59.00,429.00,287.00,748.00,227.00,471.00,52.00,782.00,26.00,

 11:56:45
Interval Count,13.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,2.00,0.00,7.00,0.00,
Total Counts,844.00,98.00,400.00,59.00,429.00,310.00,748.00,227.00,473.00,52.00,789.00,26.00,

 11:57:15
Interval Count,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,854.00,98.00,400.00,59.00,429.00,310.00,748.00,227.00,473.00,52.00,789.00,26.00,

 11:57:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,854.00,98.00,400.00,59.00,429.00,310.00,748.00,227.00,473.00,52.00,789.00,26.00,

 11:58:15
Interval Count,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,0.00,0.00,
Total Counts,866.00,98.00,400.00,59.00,429.00,310.00,748.00,227.00,473.00,55.00,789.00,26.00,

 11:58:45
Interval Count,8.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,16.00,0.00,0.00,0.00,
Total Counts,874.00,99.00,400.00,59.00,429.00,310.00,748.00,227.00,489.00,55.00,789.00,26.00,

 11:59:15
Interval Count,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,53.00,0.00,0.00,0.00,
Total Counts,874.00,99.00,400.00,61.00,429.00,310.00,748.00,227.00,542.00,55.00,789.00,26.00,

 11:59:45
Interval Count,0.00,0.00,57.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,4.00,
Total Counts,874.00,99.00,457.00,61.00,429.00,310.00,748.00,227.00,542.00,55.00,793.00,30.00,

 12:00:15
Interval Count,0.00,0.00,0.00,0.00,86.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,874.00,99.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,55.00,793.00,30.00,

 12:00:45
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,874.00,99.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,55.00,793.00,30.00,

 12:01:15
Interval Count,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,1.00,0.00,
Total Counts,888.00,99.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,56.00,794.00,30.00,

 12:01:45
Interval Count,7.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,895.00,100.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,56.00,794.00,30.00,

 12:02:15
Interval Count,0.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,895.00,102.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,56.00,794.00,30.00,

 12:02:45
Interval Count,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,
Total Counts,900.00,102.00,457.00,61.00,515.00,310.00,748.00,227.00,542.00,57.00,794.00,30.00,

 12:03:15
