,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/24/2017 14:07:59
,     Stop Time: ~10/24/2017 15:07:59


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 14:32:30
Interval Count,0.00,35.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,21.00,
Total Counts,55.00,2878.00,76.00,1448.00,20.00,2233.00,53.00,1379.00,65.00,955.00,85.00,3762.00,

 14:33:00
Interval Count,0.00,128.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,55.00,3006.00,76.00,1448.00,20.00,2233.00,53.00,1379.00,65.00,955.00,85.00,3762.00,

 14:33:30
Interval Count,15.00,19.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,119.00,
Total Counts,70.00,3025.00,76.00,1448.00,20.00,2233.00,53.00,1379.00,65.00,955.00,85.00,3881.00,

 14:34:00
Interval Count,0.00,8.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12.00,
Total Counts,70.00,3033.00,76.00,1458.00,20.00,2233.00,53.00,1379.00,65.00,955.00,85.00,3893.00,

 14:34:30
Interval Count,1.00,0.00,1.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,25.00,
Total Counts,71.00,3033.00,77.00,1458.00,20.00,2238.00,53.00,1379.00,65.00,955.00,85.00,3918.00,

 14:35:00
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,36.00,
Total Counts,71.00,3033.00,77.00,1458.00,20.00,2238.00,53.00,1379.00,65.00,955.00,85.00,3954.00,

 14:35:30
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,71.00,3033.00,77.00,1458.00,20.00,2238.00,53.00,1379.00,65.00,955.00,85.00,3954.00,

 14:36:00
Interval Count,10.00,2.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,81.00,3035.00,77.00,1458.00,20.00,2238.00,53.00,1379.00,65.00,955.00,85.00,3954.00,

 14:36:30
