,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/22/2017 13:50:33
,     Stop Time: ~10/22/2017 14:50:33


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,0.00,4.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,17.00,6526.00,262.00,3549.00,83.00,2264.00,267.00,1883.00,16.00,1081.00,7.00,6303.00,

 14:35:04
Interval Count,25.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6526.00,262.00,3549.00,83.00,2264.00,267.00,1906.00,16.00,1081.00,7.00,6303.00,

 14:35:34
Interval Count,0.00,8.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6534.00,262.00,3549.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6303.00,

 14:36:04
Interval Count,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,
Total Counts,42.00,6539.00,262.00,3549.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6448.00,

 14:36:34
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6539.00,262.00,3549.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6448.00,

 14:37:04
Interval Count,0.00,0.00,2.00,27.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,58.00,
Total Counts,42.00,6539.00,264.00,3576.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6506.00,

 14:37:34
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,42.00,6539.00,264.00,3576.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6507.00,

 14:38:04
Interval Count,0.00,0.00,0.00,12.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6539.00,264.00,3588.00,83.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6507.00,

 14:38:34
Interval Count,0.00,0.00,0.00,29.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6539.00,264.00,3617.00,84.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6507.00,

 14:39:04
Interval Count,0.00,0.00,0.00,3.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,42.00,6539.00,264.00,3620.00,84.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6508.00,

 14:39:34
Interval Count,0.00,0.00,10.00,118.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,3.00,
Total Counts,42.00,6539.00,274.00,3738.00,84.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6511.00,

 14:40:04
Interval Count,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,42.00,6539.00,274.00,3743.00,84.00,2264.00,268.00,1906.00,16.00,1081.00,7.00,6511.00,

 14:40:34
