,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG3W1
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 1/7/2018 11:46:05
,     Stop Time: ~1/7/2018 12:46:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Di11_S, Di11_H, Di12_S, Di12_H, Vi13_S, Vi13_H, Vi14_H, Vi14_S, Ri11_H, Ri11_S, Ri12_H, Ri12_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


 12:19:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,100.00,0.00,2.00,0.00,24.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,4178.00,321.00,4317.00,87.00,1955.00,

 12:19:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,79.00,0.00,0.00,0.00,1.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,4257.00,321.00,4317.00,87.00,1956.00,

 12:20:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,25.00,0.00,0.00,0.00,0.00,
Total Counts,1812.00,20.00,183.00,655.00,0.00,0.00,29.00,4282.00,321.00,4317.00,87.00,1956.00,

 12:20:36
Interval Count,0.00,0.00,80.00,0.00,0.00,0.00,0.00,48.00,0.00,0.00,0.00,25.00,
Total Counts,1812.00,20.00,263.00,655.00,0.00,0.00,29.00,4330.00,321.00,4317.00,87.00,1981.00,

 12:21:06
Interval Count,0.00,0.00,30.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,
Total Counts,1812.00,20.00,293.00,655.00,0.00,0.00,29.00,4330.00,321.00,4317.00,87.00,1982.00,

 12:21:36
Interval Count,0.00,31.00,1.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1812.00,51.00,294.00,655.00,0.00,0.00,30.00,4330.00,321.00,4317.00,87.00,1982.00,

 12:22:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,93.00,0.00,0.00,0.00,0.00,
Total Counts,1812.00,51.00,294.00,655.00,0.00,0.00,30.00,4423.00,321.00,4317.00,87.00,1982.00,

 12:22:36
Interval Count,0.00,0.00,0.00,170.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,
Total Counts,1812.00,51.00,294.00,825.00,0.00,0.00,30.00,4423.00,321.00,4322.00,87.00,1982.00,

 12:23:06
Interval Count,49.00,0.00,0.00,89.00,0.00,0.00,0.00,81.00,0.00,0.00,0.00,22.00,
Total Counts,1861.00,51.00,294.00,914.00,0.00,0.00,30.00,4504.00,321.00,4322.00,87.00,2004.00,

 12:23:36
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,124.00,0.00,0.00,0.00,0.00,
Total Counts,1861.00,51.00,295.00,914.00,0.00,0.00,30.00,4628.00,321.00,4322.00,87.00,2004.00,

 12:24:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,1861.00,51.00,295.00,914.00,0.00,0.00,30.00,4628.00,321.00,4322.00,87.00,2004.00,

 12:24:36
Interval Count,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,145.00,0.00,0.00,
Total Counts,1861.00,51.00,296.00,914.00,0.00,0.00,30.00,4628.00,321.00,4467.00,87.00,2004.00,

 12:25:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,54.00,
Total Counts,1861.00,51.00,296.00,914.00,0.00,0.00,30.00,4628.00,321.00,4467.00,87.00,2058.00,

 12:25:36
Interval Count,2.00,0.00,0.00,2.00,0.00,0.00,3.00,8.00,0.00,0.00,0.00,106.00,
Total Counts,1863.00,51.00,296.00,916.00,0.00,0.00,33.00,4636.00,321.00,4467.00,87.00,2164.00,

 12:26:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,118.00,0.00,0.00,0.00,43.00,
Total Counts,1863.00,51.00,296.00,916.00,0.00,0.00,33.00,4754.00,321.00,4467.00,87.00,2207.00,

 12:26:36
Interval Count,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,13.00,
Total Counts,1863.00,51.00,296.00,917.00,0.00,0.00,33.00,4754.00,321.00,4467.00,87.00,2220.00,

 12:27:06
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,23.00,
Total Counts,1863.00,51.00,296.00,917.00,0.00,0.00,33.00,4754.00,321.00,4467.00,87.00,2243.00,

 12:27:36
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,8.00,
