,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W3
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/29/2017 13:24:05
,     Stop Time: ~10/29/2017 14:24:05


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, Ri9_H, Ri9_S, Ri10_H, Ri10_S, Vi9_H, Vi9_S, Vi10_H, Vi10_S, Di7_H, Di7_S, Di8_H, Di8_S,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,


Interval Count,0.00,14.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,142.00,
Total Counts,50.00,6484.00,99.00,2711.00,31.00,1824.00,62.00,2303.00,73.00,1634.00,9.00,7488.00,

 14:04:36
Interval Count,0.00,33.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,161.00,
Total Counts,50.00,6517.00,99.00,2711.00,31.00,1824.00,62.00,2303.00,73.00,1634.00,9.00,7649.00,

 14:05:07
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,106.00,
Total Counts,50.00,6517.00,99.00,2711.00,31.00,1824.00,62.00,2304.00,73.00,1634.00,9.00,7755.00,

 14:05:37
Interval Count,0.00,0.00,0.00,5.00,0.00,6.00,0.00,0.00,0.00,0.00,0.00,95.00,
Total Counts,50.00,6517.00,99.00,2716.00,31.00,1830.00,62.00,2304.00,73.00,1634.00,9.00,7850.00,

 14:06:06
Interval Count,0.00,73.00,2.00,15.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,72.00,
Total Counts,50.00,6590.00,101.00,2731.00,31.00,1830.00,62.00,2304.00,73.00,1634.00,9.00,7922.00,

 14:06:37
Interval Count,0.00,188.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,1.00,58.00,
Total Counts,50.00,6778.00,101.00,2731.00,31.00,1830.00,62.00,2304.00,73.00,1634.00,10.00,7980.00,

 14:07:07
Interval Count,0.00,67.00,0.00,0.00,0.00,45.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,50.00,6845.00,101.00,2731.00,31.00,1875.00,62.00,2304.00,73.00,1634.00,10.00,7980.00,

 14:07:37
Interval Count,0.00,141.00,0.00,6.00,0.00,106.00,0.00,0.00,0.00,0.00,0.00,61.00,
