,Activity Wheel Software from Lafayette Instrument Company.
,Version 10.2.2966.20953
,Experiment Setup:
,Connected Hardware:
,,USB Interface REV 1 [1]
,     Experiment Name: SaccharinPrefG2W4
,     Experiment Length: 1 Hour
,     Download Interval(Active Cycle): 30 Seconds
,     Date Format: M/d/yyyy
,     Time Format: H:mm:ss
,     Start Time: 10/30/2017 15:19:20
,     Stop Time: ~10/30/2017 16:19:20


Interface/Port, 1-1, 1-2, 1-3, 1-4, 1-5, 1-6, 1-7, 1-8, 1-9, 1-10, 1-11, 1-12,
Counter/Animal ID, , , , , Vi11_S, Vi11_H, Vi12_S, Vi12_H, Di9_S, Di9_H, Di10_S, Di10_H,
Cage Type,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,Rat,

Interval Count,0.00,0.00,0.00,0.00,168.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,396.00,34.00,244.00,862.00,44.00,30.00,31.00,26.00,

 15:38:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,396.00,34.00,246.00,862.00,44.00,30.00,31.00,26.00,

 15:38:51
Interval Count,0.00,0.00,0.00,0.00,12.00,0.00,27.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,408.00,34.00,273.00,862.00,44.00,30.00,31.00,26.00,

 15:39:20
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,8.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,408.00,34.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:39:50
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,409.00,34.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:40:21
Interval Count,0.00,0.00,0.00,0.00,0.00,151.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,409.00,185.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:40:51
Interval Count,0.00,0.00,0.00,0.00,0.00,10.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,409.00,195.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:41:21
Interval Count,0.00,0.00,0.00,0.00,1.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:41:50
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:42:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,862.00,44.00,30.00,31.00,26.00,

 15:42:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,2.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,864.00,44.00,30.00,31.00,26.00,

 15:43:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,864.00,44.00,30.00,31.00,26.00,

 15:43:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,868.00,44.00,30.00,31.00,26.00,

 15:44:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,281.00,868.00,44.00,30.00,31.00,26.00,

 15:44:51
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,5.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,286.00,868.00,44.00,30.00,31.00,26.00,

 15:45:21
Interval Count,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,
Total Counts,0.00,0.00,0.00,0.00,410.00,195.00,286.00,868.00,44.00,30.00,31.00,26.00,

 15:45:51
